id,adunit_name,asset_name,adunit_id,status,integration_type,publisher,network,media_type,venue_type,venue_name,city,postal_code,county,state,dma,country,latitude,longitude,address,cpm,currency,four_week_impressions,impression_multiplier,bidstream_impressions,bidstream_inferred_impressions,screen_count,min_duration,max_duration,supports_video,supports_banner,supports_audio,supports_dynamic_creative,slot_dimensions,preferred_ad_format,ad_formats,restrictions,languages,open_ooh_venue_category_id,asset_image_url
700427898,1346780822,NY.D600 - Primary,be3b6f8f-7a41-4da9-b8b3-802726272981,live,API,Big Outdoor,Big Outdoor,Spectacular,Outdoor|Billboards|Spectacular,42nd St,NEW YORK,10036,New York County - NY,NY,"New York, NY",USA,40.756940,-73.988710,"241 W 42nd St, New York, NY 10036",17.0000,USD,6407880,412.3789456,24530609,10076649,1,15,15,true,true,false,true,2640x1500,2640x1500,2640x1500,,,30103,https://bigoutdoor.box.com/s/sphcujv6kedf5z9xhz9ffj3q0gqovlmk
710331545,3257a6a1-fe62-491c-8a5a-8c69018a5031,LA.D600 -Display B,a5e27c31-8caa-49c8-ab3f-2db9921588ac,on_demand,API,Big Outdoor,Big Outdoor,Spectacular,Outdoor|Billboards|Spectacular,Intuit Dome,INGLEWOOD,90303,Los Angeles County - CA,CA,"Los Angeles, CA",USA,33.945270,-118.343740,"Intuit Dome, 3930 W Century Blvd, Inglewood, CA 90303",13.0000,USD,3529232,263,2977949,241171,2,15,15,false,true,false,true,1176x2184,1176x2184,1176x2184,,,30103,https://bigoutdoor.box.com/s/p99zp1kybrukcqubhrd8lfyru9pmkbmi
710331563,c5f28501-c65f-4156-847c-37f97bb7abf1,LA.D600 - Display A,b80fe49c-3e83-47fe-8105-14216c44510b,on_demand,API,Big Outdoor,Big Outdoor,Spectacular,Outdoor|Billboards|Spectacular,Intuit Dome,INGLEWOOD,90303,Los Angeles County - CA,CA,"Los Angeles, CA",USA,33.945270,-118.343740,"Intuit Dome, 3930 W Century Blvd, Inglewood, CA 90303",13.0000,USD,3529232,263,2978475,250376,2,15,15,true,true,false,true,1176x2184,1176x2184,1176x2184,,,30103,https://bigoutdoor.box.com/s/p99zp1kybrukcqubhrd8lfyru9pmkbmi
715101198,DDI-SP-11BD,DDI-SP-11BD,55cde66e-5660-4e18-9f2d-bb57a4a4a5d1,live,API,Screenverse + Apparatix Billboards,DDI Media,Billboard,Outdoor|Billboards|Spectacular,"I 65 E/S, 0.70 mi S/O West State Highway J, S/F",OZARK,65721,Christian County - MO,MO,"Springfield, MO",USA,37.060060,-93.226790,"I 65 E/S, 0.70 mi S/O West State Highway J, S/F",6.5000,USD,303912,7.04,309884,14994,1,8,8,false,true,false,false,672x408,672x408,672x408,,,30103,https://europa.apx.me/face/photo/apx/web/ddi/SP-11BD/approach%20photo/gyZjE5Nw.webp
726563655,BOS-DG-511,BOS-DG-511,7b9ec151-1faa-48e1-9c74-8c7e4e620bfa,live,API,Orange Barrel Media,Orange Barrel Media,Spectacular,Outdoor|Billboards|Spectacular,BOS-DG-511,BOSTON,02215,Suffolk County - MA,MA,"Boston (Manchester), MA-NH",USA,42.347310,-71.098616,Lansdowne & Brookline | Fenway,25.0000,USD,19144422,55.39473958,759660,92698,1,15,15,false,true,false,true,960x760,960x760,960x760,Sexuality,,30103,""
726564095,ATL-DG-514,ATL-DG-514,a52ccfce-fe89-40e0-a5d5-3e3a9a10cab3,live,API,Orange Barrel Media,Orange Barrel Media,Spectacular,Outdoor|Billboards|Spectacular,ATL-DG-514,ATLANTA,30303,Fulton County - GA,GA,"Atlanta, GA",USA,33.752396,-84.395619,Mitchell St & Ted Turner Dr,25.0000,USD,1894082,5.48056134,77455,16353,1,15,15,true,true,false,true,1000x900,1000x900,1000x900,,,30103,""
726564727,LA-DG-513,LA-DG-513,e159bdc6-dfd2-4206-bf04-0fe2021099ea,live,API,Orange Barrel Media,Orange Barrel Media,Spectacular,Outdoor|Billboards|Spectacular,LA-DG-513,LOS ANGELES,90028,Los Angeles County - CA,CA,"Los Angeles, CA",USA,34.101678,-118.340586,Hollywood Blvd | TCL Chinese Theatres,25.0000,USD,14784113,42.77810475,0,0,1,15,15,true,true,false,true,3840x2160,3840x2160,3840x2160,"Bicycling,Bodybuilding,Boxing,Dining Out,Government,Illegal Content,Law,Politics,& Politics,Pornography",,30103,""
740088849,CHAMP-06,Interstate 4 - Tampa - West,21891f4e-21b3-4019-8b1d-8430ccdf7054,live,API,Screenverse,Screenverse + Collective Outdoor,Billboard,Outdoor|Billboards|Spectacular,Interstate 4 - Tampa - West,TAMPA,33605,Hillsborough County - FL,FL,"Tampa-St.Petersburg (Sarasota), FL",USA,27.962066,-82.421102,"Interstate 4, Tampa, FL 33605",6.5000,USD,,1,2635301,15689,1,6,64,false,true,false,false,846x234,846x234,846x234,"Alternative Medicine,Politics",,30103,""
740089602,CHAMP-05,Interstate 4 - Tampa - East,5a5f3ae0-19e5-48b0-a5b5-fba194621f9e,live,API,Screenverse,Screenverse + Collective Outdoor,Billboard,Outdoor|Billboards|Spectacular,Interstate 4 - Tampa - East,TAMPA,33605,Hillsborough County - FL,FL,"Tampa-St.Petersburg (Sarasota), FL",USA,27.965356,-82.426567,"Interstate 4, Tampa, FL 33605",6.5000,USD,,1,2792338,49103,1,6,64,false,true,false,false,630x180,630x180,630x180,"Alternative Medicine,Politics",,30103,""
740090593,CHAMP-04,Interstate 4 - Lakeland - West,a83b0f06-309d-4fc8-a557-b0df35d86a5f,live,API,Screenverse,Screenverse + Collective Outdoor,Billboard,Outdoor|Billboards|Spectacular,Interstate 4 - Lakeland - West,POLK CITY,33868,Polk County - FL,FL,"Tampa-St.Petersburg (Sarasota), FL",USA,28.155360,-81.830166,"Interstate 4, Auburndale, FL 33868",6.5000,USD,,1,332483,5990,1,6,64,false,true,false,false,846x234,846x234,846x234,"Alternative Medicine,Politics",,30103,""
